gate_id,gate_family,subject_id,dynamics_axis_id,metric,metric_direction,evaluated_row_count,reference_subject_id,reference_mean,subject_mean,improved_row_count,regressed_row_count,unchanged_row_count,gate_pass,blocks_claims,failure_type,interpretation,claim_scope
m2662_m2532_guarded_repair_policy_fresh_protected_close_cut_in_fault_obstacle_penetration_against_reference,protected_mitigation_reference_comparison,m2532_guarded_repair_policy,fresh_protected_close_cut_in_fault,obstacle_penetration_proxy_m,lower_is_better,4,straight_full_brake_open_loop,0.7588151507815881,1.7757597193000996,0,4,0,False,True,behavior_regression,diagnostic protected mitigation blocker row; not a success-rate or performance denominator,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_m2532_guarded_repair_policy_fresh_protected_close_cut_in_fault_minimum_obstacle_clearance_against_reference,protected_mitigation_reference_comparison,m2532_guarded_repair_policy,fresh_protected_close_cut_in_fault,minimum_obstacle_clearance_m,higher_is_better,4,straight_full_brake_open_loop,-0.7588151507815881,-1.7757597193000996,0,4,0,False,True,behavior_regression,diagnostic protected mitigation blocker row; not a success-rate or performance denominator,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_m2532_guarded_repair_policy_fresh_protected_fault_delay_noise_severity_proxy_against_reference,protected_mitigation_reference_comparison,m2532_guarded_repair_policy,fresh_protected_fault_delay_noise,severity_proxy,lower_is_better,4,straight_full_brake_open_loop,2.2806053379349525,2.207190473021242,2,2,0,False,True,behavior_regression,diagnostic protected mitigation blocker row; not a success-rate or performance denominator,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_m2532_guarded_repair_policy_fresh_protected_fault_delay_noise_obstacle_penetration_against_reference,protected_mitigation_reference_comparison,m2532_guarded_repair_policy,fresh_protected_fault_delay_noise,obstacle_penetration_proxy_m,lower_is_better,4,straight_full_brake_open_loop,0.6119101028400451,1.2873626449232163,1,3,0,False,True,behavior_regression,diagnostic protected mitigation blocker row; not a success-rate or performance denominator,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_m2532_guarded_repair_policy_fresh_protected_fault_delay_noise_minimum_obstacle_clearance_against_reference,protected_mitigation_reference_comparison,m2532_guarded_repair_policy,fresh_protected_fault_delay_noise,minimum_obstacle_clearance_m,higher_is_better,4,straight_full_brake_open_loop,-0.6119101028400451,-1.2873626449232163,1,3,0,False,True,behavior_regression,diagnostic protected mitigation blocker row; not a success-rate or performance denominator,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_m2532_guarded_repair_policy_fresh_protected_nominal_severity_proxy_against_reference,protected_mitigation_reference_comparison,m2532_guarded_repair_policy,fresh_protected_nominal,severity_proxy,lower_is_better,4,straight_full_brake_open_loop,1.4755584834520408,1.0534814929420626,4,0,0,True,False,,diagnostic protected mitigation comparison row,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_m2532_guarded_repair_policy_fresh_protected_nominal_obstacle_penetration_against_reference,protected_mitigation_reference_comparison,m2532_guarded_repair_policy,fresh_protected_nominal,obstacle_penetration_proxy_m,lower_is_better,4,straight_full_brake_open_loop,0.6063720066349192,0.6688164031941461,1,3,0,False,True,behavior_regression,diagnostic protected mitigation blocker row; not a success-rate or performance denominator,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_m2532_guarded_repair_policy_fresh_protected_nominal_minimum_obstacle_clearance_against_reference,protected_mitigation_reference_comparison,m2532_guarded_repair_policy,fresh_protected_nominal,minimum_obstacle_clearance_m,higher_is_better,4,straight_full_brake_open_loop,-0.6063720066349192,-0.6688164031941461,1,3,0,False,True,behavior_regression,diagnostic protected mitigation blocker row; not a success-rate or performance denominator,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_m2537_mitigation_preserving_policy_fresh_protected_close_cut_in_fault_severity_proxy_against_reference,protected_mitigation_reference_comparison,m2537_mitigation_preserving_policy,fresh_protected_close_cut_in_fault,severity_proxy,lower_is_better,4,straight_full_brake_open_loop,3.235846230842088,4.439346682397483,0,4,0,False,True,behavior_regression,diagnostic protected mitigation blocker row; not a success-rate or performance denominator,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_m2537_mitigation_preserving_policy_fresh_protected_close_cut_in_fault_obstacle_penetration_against_reference,protected_mitigation_reference_comparison,m2537_mitigation_preserving_policy,fresh_protected_close_cut_in_fault,obstacle_penetration_proxy_m,lower_is_better,4,straight_full_brake_open_loop,0.7588151507815881,1.775759868320691,0,4,0,False,True,behavior_regression,diagnostic protected mitigation blocker row; not a success-rate or performance denominator,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_m2537_mitigation_preserving_policy_fresh_protected_close_cut_in_fault_minimum_obstacle_clearance_against_reference,protected_mitigation_reference_comparison,m2537_mitigation_preserving_policy,fresh_protected_close_cut_in_fault,minimum_obstacle_clearance_m,higher_is_better,4,straight_full_brake_open_loop,-0.7588151507815881,-1.775759868320691,0,4,0,False,True,behavior_regression,diagnostic protected mitigation blocker row; not a success-rate or performance denominator,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_m2537_mitigation_preserving_policy_fresh_protected_fault_delay_noise_severity_proxy_against_reference,protected_mitigation_reference_comparison,m2537_mitigation_preserving_policy,fresh_protected_fault_delay_noise,severity_proxy,lower_is_better,4,straight_full_brake_open_loop,2.2806053379349525,2.20719134884902,2,2,0,False,True,behavior_regression,diagnostic protected mitigation blocker row; not a success-rate or performance denominator,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_m2537_mitigation_preserving_policy_fresh_protected_fault_delay_noise_obstacle_penetration_against_reference,protected_mitigation_reference_comparison,m2537_mitigation_preserving_policy,fresh_protected_fault_delay_noise,obstacle_penetration_proxy_m,lower_is_better,4,straight_full_brake_open_loop,0.6119101028400451,1.287362363119856,1,3,0,False,True,behavior_regression,diagnostic protected mitigation blocker row; not a success-rate or performance denominator,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_m2537_mitigation_preserving_policy_fresh_protected_fault_delay_noise_minimum_obstacle_clearance_against_reference,protected_mitigation_reference_comparison,m2537_mitigation_preserving_policy,fresh_protected_fault_delay_noise,minimum_obstacle_clearance_m,higher_is_better,4,straight_full_brake_open_loop,-0.6119101028400451,-1.287362363119856,1,3,0,False,True,behavior_regression,diagnostic protected mitigation blocker row; not a success-rate or performance denominator,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_m2537_mitigation_preserving_policy_fresh_protected_nominal_severity_proxy_against_reference,protected_mitigation_reference_comparison,m2537_mitigation_preserving_policy,fresh_protected_nominal,severity_proxy,lower_is_better,4,straight_full_brake_open_loop,1.4755584834520408,1.0534836212674377,4,0,0,True,False,,diagnostic protected mitigation comparison row,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_m2537_mitigation_preserving_policy_fresh_protected_nominal_obstacle_penetration_against_reference,protected_mitigation_reference_comparison,m2537_mitigation_preserving_policy,fresh_protected_nominal,obstacle_penetration_proxy_m,lower_is_better,4,straight_full_brake_open_loop,0.6063720066349192,0.668817602268698,1,3,0,False,True,behavior_regression,diagnostic protected mitigation blocker row; not a success-rate or performance denominator,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_m2537_mitigation_preserving_policy_fresh_protected_nominal_minimum_obstacle_clearance_against_reference,protected_mitigation_reference_comparison,m2537_mitigation_preserving_policy,fresh_protected_nominal,minimum_obstacle_clearance_m,higher_is_better,4,straight_full_brake_open_loop,-0.6063720066349192,-0.668817602268698,1,3,0,False,True,behavior_regression,diagnostic protected mitigation blocker row; not a success-rate or performance denominator,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
